category_id,name,last_update
1,Action,2023-07-30 11:48:33
2,Animation,2023-07-30 11:48:33
3,Children,2023-07-30 11:48:33
4,Classics,2023-07-30 11:48:33
5,Comedy,2023-07-30 11:48:33
6,Documentary,2023-07-30 11:48:33
7,Drama,2023-07-30 11:48:33
8,Family,2023-07-30 11:48:33
9,Foreign,2023-07-30 11:48:33
10,Games,2023-07-30 11:48:33
11,Horror,2023-07-30 11:48:33
12,Music,2023-07-30 11:48:33
13,New,2023-07-30 11:48:33
14,Sci-Fi,2023-07-30 11:48:33
15,Sports,2023-07-30 11:48:33
16,Travel,2023-07-30 11:48:33
